repeatIndex,nodes,tasksPerNode,chunkSize,chunksPerTask,direct,filesystem,singleFile,repeat,stripes,operation,alignment,strided,randomStrided,bandwidth,dataSize,tasks
0,2,24,4,4096,False,vast,False,10,1,write,4096,False,False,8.586254088462795,0.8646911284551352,48
0,2,24,4,4096,False,vast,False,10,1,write,4096,False,False,9.211318231129829,0.8646911284551352,48
0,2,24,4,4096,False,vast,False,10,1,write,4096,False,False,9.92572806388599,0.8646911284551352,48
0,2,24,4,4096,False,vast,False,10,1,write,4096,False,False,9.790159599725902,0.8646911284551352,48
0,2,24,4,4096,False,vast,False,10,1,write,4096,False,False,9.798033716990556,0.8646911284551352,48
0,2,24,4,4096,False,vast,False,10,1,write,4096,False,False,9.66369616859262,0.8646911284551352,48
0,2,24,4,4096,False,vast,False,10,1,write,4096,False,False,9.50654793282919,0.8646911284551352,48
0,2,24,4,4096,False,vast,False,10,1,write,4096,False,False,8.232783533313937,0.8646911284551352,48
0,2,24,4,4096,False,vast,False,10,1,write,4096,False,False,8.976078499678675,0.8646911284551352,48
0,2,24,4,4096,False,vast,False,10,1,write,4096,False,False,9.601976343664438,0.8646911284551352,48
0,4,24,1024,4096,True,vast,False,10,1,write,4096,False,False,41.336076010881115,442.7218577690292,96
0,4,24,1024,4096,True,vast,False,10,1,write,4096,False,False,42.054049476000245,442.7218577690292,96
0,4,24,1024,4096,True,vast,False,10,1,write,4096,False,False,42.00962493073399,442.7218577690292,96
0,4,24,1024,4096,True,vast,False,10,1,write,4096,False,False,41.95778893278873,442.7218577690292,96
0,4,24,1024,4096,True,vast,False,10,1,write,4096,False,False,42.02877124990012,442.7218577690292,96
0,4,24,1024,4096,True,vast,False,10,1,write,4096,False,False,41.16021137570616,442.7218577690292,96
0,4,24,1024,4096,True,vast,False,10,1,write,4096,False,False,40.545509194521834,442.7218577690292,96
0,4,24,1024,4096,True,vast,False,10,1,write,4096,False,False,41.534792214483254,442.7218577690292,96
0,4,24,1024,4096,True,vast,False,10,1,write,4096,False,False,42.592797519582795,442.7218577690292,96
0,4,24,1024,4096,True,vast,False,10,1,write,4096,False,False,42.98071005155106,442.7218577690292,96
0,4,24,4096,4096,False,vast,False,10,1,write,4096,False,False,53.45272558101357,1770.8874310761169,96
0,4,24,4096,4096,False,vast,False,10,1,write,4096,False,False,58.39682192532112,1770.8874310761169,96
0,4,24,4096,4096,False,vast,False,10,1,write,4096,False,False,57.78933701927496,1770.8874310761169,96
0,4,24,4096,4096,False,vast,False,10,1,write,4096,False,False,56.547163352097925,1770.8874310761169,96
0,4,24,4096,4096,False,vast,False,10,1,write,4096,False,False,60.2059412169014,1770.8874310761169,96
0,4,24,4096,4096,False,vast,False,10,1,write,4096,False,False,63.10976336304986,1770.8874310761169,96
0,4,24,4096,4096,False,vast,False,10,1,write,4096,False,False,66.94552946312038,1770.8874310761169,96
0,4,24,4096,4096,False,vast,False,10,1,write,4096,False,False,67.01686205683055,1770.8874310761169,96
0,4,24,4096,4096,False,vast,False,10,1,write,4096,False,False,66.18911222951388,1770.8874310761169,96
0,4,24,4096,4096,False,vast,False,10,1,write,4096,False,False,69.72905486223803,1770.8874310761169,96
0,2,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.28415636603221806,0.8646911284551352,48
0,2,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.2803103568945157,0.8646911284551352,48
0,2,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.2849250720988221,0.8646911284551352,48
0,2,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.28202591649609043,0.8646911284551352,48
0,2,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.2759989633309944,0.8646911284551352,48
0,2,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.284965379708398,0.8646911284551352,48
0,2,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.28590635670567255,0.8646911284551352,48
0,2,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.28546213801064424,0.8646911284551352,48
0,2,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.285685296368764,0.8646911284551352,48
0,2,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.28224388003980133,0.8646911284551352,48
0,8,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.0226890836955993,3.4587645138205407,192
0,8,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.0021712637816145,3.4587645138205407,192
0,8,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.9731531209671916,3.4587645138205407,192
0,8,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.0578656635087422,3.4587645138205407,192
0,8,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.0706671954389402,3.4587645138205407,192
0,8,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.0622263674561623,3.4587645138205407,192
0,8,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.0879732918328113,3.4587645138205407,192
0,8,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.1009959699908825,3.4587645138205407,192
0,8,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.0665891929670568,3.4587645138205407,192
0,8,24,4,4096,True,vast,False,10,1,write,4096,False,False,1.1023110741465916,3.4587645138205407,192
0,10,24,4,4096,False,vast,False,10,1,write,4096,False,False,33.16802014291647,4.323455642275675,240
0,10,24,4,4096,False,vast,False,10,1,write,4096,False,False,29.793633089093383,4.323455642275675,240
0,10,24,4,4096,False,vast,False,10,1,write,4096,False,False,28.53654034873282,4.323455642275675,240
0,10,24,4,4096,False,vast,False,10,1,write,4096,False,False,28.785910201592092,4.323455642275675,240
0,10,24,4,4096,False,vast,False,10,1,write,4096,False,False,29.71819864399104,4.323455642275675,240
0,10,24,4,4096,False,vast,False,10,1,write,4096,False,False,22.654135884478848,4.323455642275675,240
0,10,24,4,4096,False,vast,False,10,1,write,4096,False,False,24.058772370526007,4.323455642275675,240
0,10,24,4,4096,False,vast,False,10,1,write,4096,False,False,24.866467630720102,4.323455642275675,240
0,10,24,4,4096,False,vast,False,10,1,write,4096,False,False,35.419002830514025,4.323455642275675,240
0,10,24,4,4096,False,vast,False,10,1,write,4096,False,False,34.49205688852763,4.323455642275675,240
0,1,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.14349988519281348,0.4323455642275676,24
0,1,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.14358982880288107,0.4323455642275676,24
0,1,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.1437895258867699,0.4323455642275676,24
0,1,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.14166648600654413,0.4323455642275676,24
0,1,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.14404352728660486,0.4323455642275676,24
0,1,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.1442867909918004,0.4323455642275676,24
0,1,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.1437387808288545,0.4323455642275676,24
0,1,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.14331777221093758,0.4323455642275676,24
